,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
1130,Dutton,Julie Garwood,None,2013-08-25,HOTSHOT,1,1
1131,Putnam,WEB Griffin and William E Butterworth IV,None,2013-08-25,THE LAST WITNESS,1,3
1132,Bantam,J Kenner,0345545850,2013-08-18,COMPLETE ME,1,2
1133,Harlequin,Susan Mallery,1460316487,2013-08-18,THREE LITTLE WORDS,1,3
1134,Ace,Ilona Andrews,None,2013-08-18,MAGIC RISES,1,2
1135,Harlequin,Gena Showalter,1460316495,2013-08-18,THE DARKEST CRAVING,1,3
1136,Minotaur,C  J Box,None,2013-08-18,THE HIGHWAY,1,2
1137,Simon & Schuster,James Lee Burke,None,2013-08-11,LIGHT OF THE WORLD,1,4
1138,Touchstone,Philippa Gregory,1451626150,2013-08-11,THE WHITE PRINCESS,1,3
1139,HTJB,Marie Force,None,2013-08-11,TIME FOR LOVE,1,3
1140,St. Martin's,Iris Johansen,125002000X,2013-08-04,HUNTING EVE,1,2
1141,Ecila Media,Shayla Black and others,None,2013-08-04,ALPHA BAD BOYS,1,3
1142,Ballantine,Debbie Macomber,None,2013-08-04,LOST AND FOUND IN CEDAR COVE,1,6
1143,Holt,Sue Grafton,1429901349,2013-07-28,A IS FOR ALIBI,1,4
1144,Atria,Colleen Hoover,None,2013-07-28,LOSING HOPE,1,2
1145,Gallery Books,Christina Lauren,1476751722,2013-07-28,BEAUTIFUL BITCH,1,2
1146,Novelty Books,"Tanya Anne Cros, Danelle Harmon, Lauren Royal and Cynthia Wright",None,2013-07-28,FOUR IRRESISTIBLE ROGUES,1,3
1147,Grand Central,Jodi Ellen Malpas,1455578355,2013-07-21,THIS MAN CONFESSED,1,3
1148,Berkley,Laurell K Hamilton,None,2013-07-21,AFFLICTION,1,1
1149,Delacorte,Karin Slaughter,None,2013-07-21,UNSEEN,1,1
1150,Gallery Books,Kresley Cole,1476713359,2013-07-21,MACRIEVE,1,1
1151,Morrow/HarperCollins,James Rollins,0062194917,2013-07-14,THE EYE OF GOD,1,4
1152,Harlequin,Susan Mallery,1460315154,2013-07-14,TWO OF A KIND,1,4
1153,Berkley,Maya Banks,None,2013-07-14,FORGED IN STEELE,1,3
1154,Dutton,Tami Hoag,None,2013-07-07,THE 9TH GIRL,1,3
1155,Ballantine,Steve Berry,0345526562,2013-06-30,THE KING'S DECEPTION,1,3
1156,St. Martin's,Mary Kay Andrews,None,2013-06-23,LADIES' NIGHT,1,2
1157,Bantam,Dean Koontz,0345535693,2013-06-16,DEEPLY ODD,1,2
1158,Forever,Jessica Sorensen,None,2013-06-16,THE FOREVER OF ELLA AND MICHA,1,6
1159,Jove,Christine Feehan,None,2013-06-16,LEOPARD'S PREY,1,2
1160,Amy Harmon,Amy Harmon,None,2013-06-16,A DIFFERENT BLUE,1,3
1161,Pocket Star,Kyra Davis,None,2013-06-09,BINDING AGREEMENT,1,2
1162,Omnific,Emma Chase,None,2013-06-09,TANGLED,1,1
1163,Atria,Raine Miller,None,2013-06-02,EYES WIDE OPEN,1,3
1164,Laree Bailey,HM Ward,None,2013-06-02,THE ARRANGEMENT 7,1,3
1165,Zebra,Lisa Jackson,1420106341,2013-06-02,LEFT TO DIE,1,3
1166,Simon & Schuster,Richard Paul Evans,1451628293,2013-05-26,A STEP OF FAITH,1,4
1167,Sourcebooks Landmark,Judith Merkle Riley,None,2013-05-26,THE ORACLE GLASS,1,3
1168,Viking,John le Carre,0670014893,2013-05-26,A DELICATE TRUTH,1,3
1169,NAL,Samantha Young,None,2013-05-26,DOWN LONDON ROAD,1,3
1170,Houghton Mifflin Harcourt,Ann Patchett,0547548796,2013-05-26,THE MAGICIAN'S ASSISTANT,1,3
1171,Harlequin Mira,Sherryl Woods,None,2013-05-19,WIND CHIME POINT,1,3
1172,Ellora's Cave,Laurann Dohner,None,2013-05-19,MOON,1,1
1173,HarperCollins,John Irving,0062204106,2013-05-19,A PRAYER FOR OWEN MEANY,1,5
1174,Atria,Colleen Hoover,1476746540,2013-05-19,THIS GIRL,1,2
1175,Harlequin,Susan Mallery,None,2013-05-19,HALFWAY THERE,1,2
1176,Bantam,J Kenner,None,2013-05-12,CLAIM ME,1,2
1177,Dial,Sophie Kinsella,0812993853,2013-05-12,WEDDING NIGHT,1,2
1178,Putnam,Amanda Quick,None,2013-05-12,THE MYSTERY WOMAN,1,3
1179,Doubleday,Edward Rutherfurd,0385535317,2013-05-12,PARIS,1,1
1180,St. Martin's,Iris Johansen,1250019974,2013-05-05,TAKING EVE,1,2
1181,Gallery Books,Christina Lauren,1476731543,2013-05-05,BEAUTIFUL STRANGER,1,2
1182,"Mulholland/Little, Brown",Michael Robotham,0316221252,2013-05-05,SAY YOU'RE SORRY,1,3
1183,St. Martin's Press,Lisa Scottoline,None,2013-04-28,DON'T GO,1,2
1184,Sourcebooks,Susanna Kearsley,None,2013-04-28,THE SHADOWY HORSES,1,3
1185,Random House Publishing,Debbie Macomber,0345533534,2013-04-21,STARTING NOW,1,2
1186,The Indie Voice,Jana DeLeon and others,None,2013-04-21,TO DIE FOR,1,3
1187,Grand Central Publishing,Kristen Ashley,None,2013-04-21,OWN THE WIND,1,3
1188,Katie Ashley,Katie Ashley,None,2013-04-21,MUSIC OF THE HEART,1,4
1189,HarperCollins Publishers,Jeaniene Frost,0062075837,2013-04-14,TWICE TEMPTED,1,2
1190,Harlequin,Sherryl Woods,None,2013-04-14,SAND CASTLE BAY,1,3
1191,HarperCollins Publishers,Jacqueline Winspear,None,2013-04-14,LEAVING EVERYTHING MOST LOVED,1,4
1192,HarperCollins Publishers,Stephanie Laurens,None,2013-04-14,AND THEN SHE FELL,1,4
1193,Simon & Schuster,Kyra Davis,None,2013-04-07,EXPOSED,1,1
1194,Grand Central Publishing,Jean Hanff Korelitz,0446557633,2013-04-07,ADMISSION,1,1
1195,HarperCollins Publishers,Eloisa James,None,2013-04-07,WITH THIS KISS,1,3
1196,Random House Publishing,Maya Banks,0345538897,2013-04-07,HIGHLANDER MOST WANTED,1,3
1197,Penguin Group,C J Box,None,2013-03-31,BREAKING POINT,1,2
1198,Abbi Glines,Abbi Glines,None,2013-03-31,NEVER TOO FAR,1,3
1199,Random House Publishing,Terry Brooks,None,2013-03-31,BLOODFIRE QUEST,1,2
1200,Simon & Schuster,S C Stephens,1476718210,2013-03-24,RECKLESS,1,1
1201,Penguin Group,Patricia Briggs,None,2013-03-24,FROST BURNED,1,2
1202,Penguin Group,Clive Cussler and Justin Scott,None,2013-03-24,THE STRIKER,1,2
1203,Howard Books,Karen Kingsbury,1451647042,2013-03-24,THE CHANCE,1,2
1204,Tyndale House Publishers,Joel C Rosenberg,1414381859,2013-03-24,DAMASCUS COUNTDOWN,1,2
1205,HarperCollins Publishers,Lynsay Sands,0062078127,2013-03-17,IMMORTAL EVER AFTER,1,3
1206,Marie Force,Marie Force,0985034157,2013-03-10,WAITING FOR LOVE,1,3
1207,Shanora Williams,Shanora Williams,None,2013-03-10,HARD TO RESIST,1,3
1208,St. Martin's Press,Jackie Collins,1250011019,2013-03-03,THE POWER TRIP,1,3
1209,St. Martin's Press,Lisa Kleypas,None,2013-02-24,CRYSTAL COVE,1,2
1210,HarperCollins Publishers,Kim Harrison,None,2013-02-10,EVER AFTER,1,2
1211,Simon & Schuster,Stephen Hunter,None,2013-02-03,THE THIRD BULLET,1,3
1212,Penguin Group,Stuart Woods,None,2013-01-27,COLLATERAL DAMAGE,1,2
1213,Penguin Group,Jayne Ann Krentz,None,2013-01-27,DREAM EYES,1,2
1214,St. Martin's Press,Janet Evanovich and Dorien Kelly,None,2013-01-27,THE HUSBAND LIST,1,3
1215,Penguin Group,Maya Banks,None,2013-01-20,SHADES OF GRAY,1,3
1216,Random House Publishing,Linda Howard,None,2013-01-20,SHADOW WOMAN,1,2
1217,Penguin Group,W E B Griffin and William E Butterworth IV,None,2013-01-20,EMPIRE AND HONOR,1,3
1218,Grand Central Publishing,Douglas Preston and Lincoln Child,145551053X,2012-12-30,TWO GRAVES,1,2
1219,Random House Publishing,Diana Gabaldon,0345545370,2012-12-23,A LEAF ON THE WIND OF ALL HALLOWS,1,8
1220,Pocket Books,Kresley Cole,None,2012-12-16,SHADOW'S CLAIM,1,2
1221,Pocket Books,Kresley Cole,None,2012-12-16,SHADOW'S CLAIM,1,2
1222,Knopf Doubleday Publishing,Ian McEwan,0385536836,2012-12-02,SWEET TOOTH,1,2
1223,Simon & Schuster,Jennifer Probst,1476717532,2012-11-25,THE MARRIAGE MISTAKE,1,3
1224,Grand Central Publishing,Nelson DeMille,0759528330,2012-11-25,PLUM ISLAND,1,2
1225,Random House Publishing,Karen Marie Moning,None,2012-11-18,ICED,1,1
1226,Penguin Group,Sarah Jio,None,2012-11-18,BLACKBERRY WINTER,1,2
1227,Harlequin,Ron Carr,1459244370,2012-11-11,MY KIND OF CHRISTMAS,1,4
1228,Howard Books,Karen Kingsbury,1451647026,2012-11-11,THE BRIDGE,1,2
1229,"Little, Brown & Company",Tom Wolfe,0316214582,2012-11-11,BACK TO BLOOD,1,3
1230,Random House Publishing,Justin Cronin,0345534891,2012-11-04,THE TWELVE,1,2
1231,Simon & Schuster,Kate Morton,143916309X,2012-11-04,THE SECRET KEEPER,1,3
1232,St. Martin's Press,Iris Johansen,None,2012-11-04,SLEEP NO MORE,1,3
1233,New American Library,JR Ward,None,2012-10-14,RAPTURE,1,1
1234,Harlequin,Susan Mallery,145924124X,2012-10-14,A FOOL'S GOLD CHRISTMAS,1,4
1235,Random House Publishing,H P Mallory,0345531590,2012-10-14,SOMETHING WITCHY THIS WAY COMES,1,5
1236,Penguin Group,Beth Kery,None,2012-10-07,"BECAUSE YOU ARE MINE, PART VIII",1,6
1237,Hyperion Press,Richard Castle,1401304729,2012-09-30,FROZEN HEAT,1,2
1238,HarperCollins Publishers,Michael Chabon,0061493341,2012-09-30,TELEGRAPH AVENUE,1,2
1239,Simon & Schuster,Tina Reber,1476718989,2012-09-30,LOVE UNREHEARSED,1,2
1240,Penguin Group,Junot Diaz,1594487367,2012-09-30,THIS IS HOW YOU LOSE HER,1,6
1241,Penguin Group,Junot Diaz,1594487367,2012-09-30,THIS IS HOW YOU LOSE HER,1,6
1242,Penguin Group,Jayne Castle,None,2012-09-23,THE LOST NIGHT,1,3
1243,Penguin Group,Sylvain Reynard,None,2012-09-23,GABRIEL'S INFERNO,1,2
1244,Penguin Group,Beth Kery,None,2012-09-23,"BECAUSE YOU ARE MINE, PART VI",1,6
1245,Penguin Group,Sylvain Reynard,None,2012-09-23,GABRIELÛªS INFERNO,1,2
1246,St. Martin's Press,Louise Penny,1250015278,2012-09-16,THE BEAUTIFUL MYSTERY,1,3
1247,HarperCollins Publishers,Eloisa James,None,2012-09-16,THE UGLY DUCHESS,1,3
1248,Ellora's Cave,Laurann Dohner,None,2012-09-16,OBSIDIAN,1,1
1249,Harlequin,Sherryl Woods,None,2012-09-16,WHERE AZALEAS BLOOM,1,3
1250,Random House Publishing,Terry Brooks,0345523490,2012-09-09,WARDS OF FAERIE,1,3
1251,Simon & Schuster,Philippa Gregory,1451626142,2012-09-02,THE KINGMAKER'S DAUGHTER,1,3
1252,Simon & Schuster,Philippa Gregory,1451626142,2012-09-02,THE KINGMAKER'S DAUGHTER,1,3
1253,Penguin Group,Julie Garwood,None,2012-08-26,SWEET TALK,1,2
1254,Penguin Group,Lora Leigh,None,2012-08-26,STYGIAN'S HONOR,1,2
1255,St. Martin's Press,Sherrilyn Kenyon,None,2012-08-26,TIME UNTIME,1,2
1256,St. Martin's Press,Lisa Kleypas,1250014271,2012-08-26,DREAM LAKE,1,2
1257,Kensington Publishing,Lisa Jackson,0758279590,2012-08-26,YOU DON'T WANT TO KNOW,1,5
1258,Kensington Publishing,Lisa Jackson,0758279590,2012-08-26,YOU DON'T WANT TO KNOW,1,5
1259,Harlequin,Susan Mallery,1459234537,2012-08-19,ALL SUMMER LONG,1,3
1260,Harlequin,Linda Lael Miller,None,2012-08-19,BIG SKY MOUNTAIN,1,3
1261,Penguin Group,Tana French,None,2012-08-12,BROKEN HARBOR,1,2
1262,HarperCollins Publishers,J A Jance,0062132385,2012-08-12,JUDGMENT CALL,1,2
1263,Simon & Schuster,James Lee Burke,1451648154,2012-08-05,CREOLE BELLE,1,2
1264,HarperCollins Publishers,Susan Elizabeth Phillips,0062106104,2012-07-29,THE GREAT ESCAPE,1,3
1265,Penguin Group,Laura Moriarty,None,2012-07-29,THE CHAPERONE,1,2
1266,Penguin Group,Christine Feehan,None,2012-07-22,SAMURAI GAME,1,2
1267,Berkley,Maya Banks,None,2012-07-22,ECHOES AT DAWN,1,3
1268,Zondervan,Karen Kingsbury,0310333644,2012-07-15,COMING HOME,1,2
1269,HarperCollins Publishers,Jeaniene Frost,0062096273,2012-07-15,ONCE BURNED,1,2
1270,Harlequin,Susan Mallery,1459233174,2012-07-15,SUMMER NIGHTS,1,2
1271,Random House Publishing,Dean Koontz,None,2012-07-15,ODD INTERLUDE #3,1,3
1272,Random House Publishing,Dean Koontz,0345536770,2012-07-08,ODD INTERLUDE #2,1,3
1273,Random House Publishing,Alan Furst,0679604227,2012-07-01,MISSION TO PARIS,1,3
1274,HarperCollins Publishers,Dorothea Benton Frank,0062194860,2012-07-01,PORCH LIGHTS,1,2
1275,Penguin Group,Laurell K Hamilton,None,2012-06-24,KISS THE DEAD,1,3
1276,St. Martin's Press,Mary Kay Andrews,1466802634,2012-06-24,SPRING FEVER,1,2
1277,HarperCollins Publishers,Julia Quinn,0062072919,2012-06-17,A NIGHT LIKE THIS,1,4
1278,HarperCollins Publishers,Rachel Gibson,0062069136,2012-06-17,RESCUE ME,1,2
1279,Harlequin,Susan Mallery,1459230051,2012-06-17,SUMMER DAYS,1,2
1280,Harlequin,Linda Lael Miller,1459230043,2012-06-17,BIG SKY COUNTRY,1,3
1281,Henry Holt & Company,Hilary Mantel,0805090037,2012-05-27,BRING UP THE BODIES,1,4
1282,Simon & Schuster,Richard Paul Evans,1451628188,2012-05-27,THE ROAD TO GRACE,1,4
1283,Putnam,Amanda Quick,None,2012-05-13,CRYSTAL GARDENS,1,2
1284,HarperCollins Publishers,Lynsay Sands,0062119370,2012-05-13,UNDER A VAMPIRE MOON,1,4
1285,Penguin Group,Stuart Woods,None,2012-05-06,UNNATURAL ACTS,1,2
1286,St. Martin's Press,Iris Johansen,1429952938,2012-05-06,WHAT DOESN'T KILL YOU,1,4
1287,St. Martin's Press,Lisa Scottoline,1429942320,2012-04-29,COME HOME,1,2
1288,Ellora's Cave Publishing,Laurann Dohner,None,2012-04-29,TIGER,1,1
1289,HarperCollins Publishers,Christopher Moore,0061779741,2012-04-22,SACRE BLEU,1,2
1290,Knopf Doubleday Publishing,Alexander McCall Smith,0307378403,2012-04-22,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,1,6
1291,HarperCollins Publishers,Adriana Trigiani,0062098063,2012-04-22,THE SHOEMAKER'S WIFE,1,3
1292,HarperCollins Publishers,Christopher Moore,0061779741,2012-04-22,SACRE BLEU,1,2
1293,HarperCollins Publishers,Adriana Trigiani,0062098063,2012-04-22,THE SHOEMAKER'S WIFE,1,3
1294,Zondervan,Karen Kingsbury,0310427592,2012-04-15,LOVING,1,1
1295,Harlequin,Lori Foster,1459225651,2012-04-15,A PERFECT STORM,1,3
1296,Penguin Group,C J Box,None,2012-04-08,FORCE OF NATURE,1,3
1297,Random House Publishing,Troy Denning,0345509226,2012-04-01,FATE OF THE JEDI: APOCALYPSE,1,5
1298,Crown Publishing,Chris Pavone,None,2012-04-01,THE EXPATS,1,2
1299,Penguin Group,Patricia Briggs,None,2012-03-25,FAIR GAME,1,2
1300,Ellora's Cave Publishing,Laurann Dohner,None,2012-03-25,WRATH,1,1
1301,Harlequin,Gena Showalter,1459222830,2012-03-18,THE DARKEST SEDUCTION,1,3
1302,St. Martin's Press,Lisa Kleypas,1429938374,2012-03-18,RAINSHADOW ROAD,1,2
1303,HarperCollins Publishers,Kim Harrison,0062101021,2012-03-11,A PERFECT BLOOD,1,3
1304,Simon & Schuster,J A Jance,1451628625,2012-02-26,LEFT FOR DEAD,1,3
1305,HarperCollins Publishers,Stephanie Laurens,0062066226,2012-02-19,THE CAPTURE OF THE EARL OF GLENCRAE,1,7
1306,Random House Publishing,Lara Adrian,0345529294,2012-02-12,DARKER AFTER MIDNIGHT,1,3
1307,Pocket Books,Sabrina Jeffries,1451642490,2012-02-12,A LADY NEVER SURRENDERS,1,4
1308,"Little, Brown & Company",George Pelecanos,0316209554,2012-02-12,WHAT IT WAS,1,3
1309,HarperCollins Publishers,Jennifer McMahon,0061807583,2012-02-05,ISLAND OF LOST GIRLS,1,4
1310,HarperCollins Publishers,Bernard Cornwell,0062097113,2012-02-05,DEATH OF KINGS,1,3
1311,St. Martin's Press,Nevada Barr,1429951133,2012-02-05,THE ROPE,1,2
1312,Simon & Schuster,Kresley Cole,1439177023,2012-01-29,LOTHAIRE,1,1
1313,Dutton,Lisa Gardner,None,2012-01-29,THE 7TH MONTH,1,3
1314,Penguin Group,Jayne Ann Krentz,None,2012-01-29,COPPER BEACH,1,2
1315,Grand Central Publishing,Douglas Preston and Lincoln Child,0446564354,2012-01-29,GIDEON'S CORPSE,1,2
1316,Harlequin,Ron Carr,None,2012-01-15,HIDDEN SUMMIT,1,2
1317,Penguin Group,Christine Feehan,None,2012-01-15,SPIRIT BOUND,1,2
1318,Penguin Group,Lora Leigh,None,2011-12-25,LAWE'S JUSTICE,1,2
1319,HarperCollins Publishers,Garth Stein,0061738093,2011-12-18,THE ART OF RACING IN THE RAIN,1,7
1320,Zondervan,Karen Kingsbury,None,2011-12-11,LONGING,1,1
1321,Random House Publishing,Drew Karpyshyn,0345511344,2011-12-04,THE OLD REPUBLIC: REVAN,1,4
1322,Tom Doherty Associates,Brandon Sanderson,1429994894,2011-11-27,THE ALLOY OF LAW,1,4
1323,St. Martin's Press,Sherrilyn Kenyon,None,2011-11-20,THE GUARDIAN,1,2
1324,Harlequin,Susan Mallery,1426834101,2011-11-20,ONLY US,1,2
1325,Simon & Schuster,Richard Paul Evans,1451628005,2011-11-20,LOST DECEMBER,1,2
1326,Center Street,Ted Dekker,1599952602,2011-11-13,BONEMAN'S DAUGHTERS,1,2
1327,Threshold Editions,Glenn Beck,1439187207,2011-11-13,THE SNOW ANGEL,1,3
1328,HarperCollins Publishers,Guillermo del Toro and Chuck Hogan,0062066048,2011-11-13,THE NIGHT ETERNAL,1,3
1329,Tyndale House,Joel C Rosenberg,1414365365,2011-11-06,THE TEHRAN INITIATIVE,1,3
1330,Paragon Press,Douglas E Richards,None,2011-11-06,WIRED,1,1
1331,Knopf Doubleday Publishing,Julian Barnes,0307957330,2011-11-06,THE SENSE OF AN ENDING,1,5
1332,Simon & Schuster,Philippa Gregory,141656392X,2011-11-06,THE LADY OF THE RIVERS,1,5
1333,HarperCollins Publishers,Terry Pratchett,0062011847,2011-10-30,SNUFF,1,1
1334,Atria,"James Wesley, Rawles",1439172803,2011-10-23,SURVIVORS,1,1
1335,Simon & Schuster,James Lee Burke,1451643144,2011-10-16,FEAST DAY OF FOOLS,1,4
1336,HQN,Susan Mallery,None,2011-10-16,ONLY HIS,1,2
1337,HQN,Gena Showalter,None,2011-10-16,THE DARKEST SURRENDER,1,3
1338,HarperCollins,Stephanie Laurens,None,2011-10-16,IN PURSUIT OF ELIZA CYNSTER,1,5
1339,Penguin Group,Stuart Woods,None,2011-10-09,SON OF STONE,1,3
1340,Thorndike,Fern Michaels,None,2011-10-09,LISTEN TO YOUR HEART,1,4
1341,HarperCollins,Neal Stephenson,0061977969,2011-10-09,REAMDE,1,1
1342,Center Street,Karen Kingsbury,1599951193,2011-10-02,A THOUSAND TOMORROWS,1,3
1343,Penguin Group,Michael Brandman,0399157840,2011-10-02,ROBERT B. PARKER'S KILLING THE BLUES,1,6
1344,St. Martin's,Jackie Collins,1429962232,2011-10-02,GODDESS OF VENGEANCE,1,3
1345,Penguin Group,Barbara Freethy,None,2011-10-02,SILENT RUN,1,2
1346,Berkley,Christine Feehan,None,2011-09-25,DARK PREDATOR,1,2
1347,Penguin Group,JR Ward,None,2011-09-25,ENVY,1,1
1348,Random House,Linda Howard,0345526295,2011-09-25,PREY,1,1
1349,Penguin Group,Jayne Castle,None,2011-09-18,CANYONS OF NIGHT,1,3
1350,Harlequin,Susan Mallery,None,2011-09-18,ONLY YOURS,1,2
1351,HarperCollins,Jeaniene Frost,None,2011-09-18,ONE GRAVE AT A TIME,1,5
1352,HarperCollins,Stephanie Laurens,None,2011-09-18,VISCOUNT BRECKENRIDGE TO THE RESCUE,1,5
1353,HarperCollins,Johanna Lindsey,None,2011-09-11,HEARTS AFLAME,1,2
1354,Doherty,Terry Goodkind,0765327724,2011-09-04,THE OMEN MACHINE,1,3
1355,Putnam,W E B Griffin and William E Butterworth IV,None,2011-08-28,VICTORY AND HONOR,1,3
1356,St. Martin's,Sherrilyn Kenyon,None,2011-08-21,RETRIBUTION,1,1
1357,St. Martin's,Iris Johansen,None,2011-07-31,QUINN,1,1
1358,Random House,Lara Adrian,044033991X,2011-07-17,DEEPER THAN MIDNIGHT,1,3
1359,Harlequin,Lori Foster,None,2011-07-17,SAVOR THE DANGER,1,3
1360,Zondervan,Karen Kingsbury,031042755X,2011-07-10,LEARNING,1,1
1361,Random House,Karin Slaughter,0345528220,2011-07-10,FALLEN,1,1
1362,HarperCollins,Dorothea Benton Frank,0061961272,2011-07-03,FOLLY BEACH,1,2
1363,Random House,Ann Brashares,0679605096,2011-07-03,SISTERHOOD EVERLASTING,1,2
1364,Penguin Group,Laurell K Hamilton,0425241130,2011-06-26,HIT LIST,1,2
1365,St. Martin's,Mary Kay Andrews,None,2011-06-26,SUMMER RENTAL,1,2
1366,HarperCollins,Julia Quinn,0062079530,2011-06-19,JUST LIKE HEAVEN,1,3
1367,Harlequin,Linda Lael Miller,0373775806,2011-06-19,CREED'S HONOR,1,2
1368,Mira,Sherryl Woods,None,2011-06-19,BEACH LANE,1,2
1369,Penguin Group,Ilona Andrews,None,2011-06-19,MAGIC SLAYS,1,2
1370,Random House,Dean Koontz,0553593684,2011-06-12,FRANKENSTEIN: THE DEAD TOWN,1,4
1371,Random House,Aaron Allston,0345509102,2011-06-12,CONVICTION,1,1
1372,Grand Central,David Baldacci,1455504394,2011-05-22,NO TIME LEFT,1,3
1373,Penguin Group,Christine Feehan,0515149330,2011-05-15,SAVAGE NATURE,1,2
1374,Penguin Group,Stuart Woods,None,2011-05-15,BEL-AIR DEAD,1,2
1375,Harlequin,Sherryl Woods,0778329798,2011-05-15,MOONLIGHT COVE,1,2
1376,HarperCollins,Rachel Gibson,0062079166,2011-05-15,ANY MAN OF MINE,1,4
1377,St. Martin's,Iris Johansen,1429920165,2011-05-08,EVE,1,1
1378,Penguin Group,Amanda Quick,None,2011-05-08,QUICKSILVER,1,1
1379,Penguin Group,Lora Leigh,None,2011-04-24,NAVARRO'S PROMISE,1,2
1380,Harlequin,Gena Showalter,None,2011-04-17,THE DARKEST SECRET,1,3
1381,Kensington,Fern Michaels,1420122487,2011-04-17,HOME FREE,1,2
1382,Knopf Doubleday,Henning Mankell,0307593495,2011-04-17,THE TROUBLED MAN,1,3
1383,Knopf Doubleday,Alexander McCall Smith,030737839X,2011-04-10,THE SATURDAY BIG TENT WEDDING PARTY,1,6
1384,Zondervan,Karen Kingsbury,0310266289,2011-04-10,LEAVING,1,1
1385,Random House,Tea Obreht,0385343833,2011-04-03,THE TIGER'S WIFE,1,3
1386,St. Martin's,Lora Leigh,1429985356,2011-03-20,LIVE WIRE,1,2
1387,HarperCollins,Kim Harrison,0061138061,2011-03-13,PALE DEMON,1,2
1388,Grand Central,Douglas Preston and Lincoln Child,044656432X,2011-03-13,GIDEON'S SWORD,1,2
1389,HarperCollins,Jeaniene Frost,0062065793,2011-03-13,THIS SIDE OF THE GRAVE,1,5
1390,Random House,Jamie Ford,0345512502,2011-03-06,HOTEL ON THE CORNER OF BITTER AND SWEET,1,8
1391,Penguin Group,Alex Berenson,None,2011-02-27,THE SECRET SOLDIER,1,3
1392,Simon & Schuster,JA Jance,141656389X,2011-02-20,FATAL ERROR,1,2
1393,Berkley,J D Robb,1101987995,2017-01-29,APPRENTICE IN DEATH,0,3
1394,Dial Press,Mary Ann Shaffer and Annie Barrows,0440337976,2017-01-29,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,0,8
1395,Random House,Debbie Macomber,0553391860,2017-01-29,SWEET TOMORROWS,0,2
1396,"Little, Brown",James Patterson and David Ellis,1455589918,2017-01-29,THE MURDER HOUSE,0,3
1397,Doubleday,Chris Bohjalian,0385538928,2017-01-29,THE SLEEPWALKER,0,2
1398,Penguin,Jojo Moyes,None,2017-01-22,SILVER BAY,0,2
1399,Putnam,Mark Greaney,None,2017-01-22,TOM CLANCY TRUE FAITH AND ALLEGIANCE,0,6
1400,HQN,Diana Palmer,0373789947,2017-01-15,WYOMING BRAVE,0,2
1401,Crown/Archetype,Blake Crouch,1101904232,2017-01-15,DARK MATTER,0,2
1402,Aurora Rose Reynolds,Aurora Rose Reynolds,None,2017-01-15,UNTIL ASHLYN,0,2
1403,Ilona Andrews,Ilona Andrews,1943772711,2017-01-08,ONE FELL SWEEP,0,3
1404,"Little, Brown",Stephenie Meyer,0316387835,2017-01-01,THE CHEMIST,0,2
1405,HTJB,Marie Force,1946136034,2017-01-01,LIGHT AFTER DARK,0,3
1406,Harper/HarperCollins,Michael Chabon,0062225553,2017-01-01,MOONGLOW,0,1
1407,Orbit,James S A Corey,0316217638,2016-12-25,BABYLON'S ASHES,0,2
1408,"Little, Brown",James Patterson with Richard DiLallo,0316319996,2016-12-25,THE CHRISTMAS MYSTERY,0,3
1409,Morrow/HarperCollins,Christina Baker Kline,None,2016-12-18,ORPHAN TRAIN,0,2
1410,Berkley,Jayne Ann Krentz,None,2016-12-18,WHEN ALL THE GIRLS HAVE GONE,0,6
1411,Putnam,Clive Cussler and Dirk Cussler,0399575510,2016-12-18,ODESSA SEA,0,2
1412,Minotaur,Louise Penny,1250022126,2016-12-11,A GREAT RECKONING,0,3
1413,Morrow,Patricia Cornwell,0062436686,2016-12-11,CHAOS,0,1
1414,Bantam,Janet Evanovich,0345542975,2016-12-11,TRICKY TWENTY-TWO,0,2
1415,Simon & Schuster,Mary Higgins Clark and Alafair Burke,1501108581,2016-12-11,THE SLEEPING BEAUTY KILLER,0,4
1416,Penguin Press,Zadie Smith,1594203989,2016-12-04,SWING TIME,0,2
1417,Plain Jane,Kristen Callihan,None,2016-12-04,MANAGED,0,1
1418,JKB,K Bromberg,1942832036,2016-12-04,SWEET CHEEKS,0,2
1419,Delacorte,Danielle Steel,1101883855,2016-11-27,THE AWARD,0,2
1420,Emily Bestler/Atria,Kyle Mills,1476783489,2016-11-27,VINCE FLYNN: ORDER TO KILL,0,5
1421,Rutherford,Jana Aston,069252777X,2016-11-27,WRONG,0,1
1422,Anchor,Dan Brown,1101972971,2016-11-27,INFERNO,0,1
1423,Rutherford,Jana Aston,0998244414,2016-11-27,TRUST,0,1
1424,Harper/HarperCollins,Ann Patchett,0062491814,2016-11-20,COMMONWEALTH,0,1
1425,"Farrar, Straus & Giroux",Paul Beatty,1250083257,2016-11-20,THE SELLOUT,0,2
1426,"Little, Brown",Michael Connelly,1455524158,2016-11-20,THE CROSSING,0,2
1427,Baen Books,David Weber,None,2016-11-20,SHADOW OF VICTORY,0,3
1428,KT Publishing,Katy Evans,0997263636,2016-11-20,MR. PRESIDENT,0,2
1429,Grand Central,Douglas Preston and Lincoln Child,1455536911,2016-11-13,THE OBSIDIAN CHAMBER,0,3
1430,Morrow,Susan Wiggs,0062425471,2016-11-13,FAMILY TREE,0,2
